快樂天堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
song index: ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signature number : ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key : , bE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar length: ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beat note: ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=====,======,======,======,=======,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar number: ,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note number: ,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=====,======,======,======,=======,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
signatureNum, signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=====,======,======,======,=======,======,======,======,=======,======,=======,======,=======,======,=======,======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======,=======
noteRowNum, noteColumnNum, note, barRow, barColumn,barLine, baseQuarter, quarter, dotEigth, ascend, descend ,repeatBegin,repeatEnd,begin,end,leftTies,rightTies,aHalfSemitone,dHalfSemitone,sectionBeg,sectionEnd,sectionNum,connectedLine,hConnectedLine,chord1,chord2,chord3,xCoordinate,yCoordinate,width ,height,Lyric1,lyric2,polyphone,bigsection,section1,section2
1,1,3,1,1,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,bA,0,0,90,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,159,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,7,1,2,1,0,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,Gm7,0,0,239,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,1,2,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,343,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,3,1,3,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,bA,0,0,389,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,2,1,3,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,457,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,4,1,0,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,Gm,0,0,537,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,7,1,4,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,632,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,1,1,5,1,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,Fm7,0,0,672,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,6,1,5,0,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,723,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,6,1,5,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,747,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,4,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,800,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,1,1,6,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,bA/bB,0,0,825,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,7,1,6,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,bB,0,0,885,264,,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,5,2,1,1,1,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,122,328,,,大,河,1,1,1,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,5,2,1,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,147,328,,,象,馬,1,1,1,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,5,2,1,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,176,328,,,長,張,1,1,1,23
